,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
1002,brazil,My Girl,6LMjjcvtlWp1Dtj19yiIvT,56,-15.233,83.538,209573,0.093,9,0.0,0.054,0.312,0.685
1003,brazil,O Vento,4MYTwzia07JVDvMes0y0qY,2,-6.17,137.948,213867,0.685,9,1.08e-05,0.0328,0.839,0.665
1004,brazil,Geni E O Zepelim,4eF9KMFVQWL3RTxBYkXi0V,5,-7.561,150.43,337133,0.524,0,0.0,0.0425,0.462,0.47
1005,brazil,Não Existe Amor Em SP,7mrL741YwpaiRKg56zakhb,0,-9.526,141.975,280613,0.41,5,0.016,0.0401,0.349,0.602
1006,brazil,Águas De Marco,0Fzuca7Mfj4F9k7Fu4SyrS,0,-22.586,152.618,180933,0.225,5,0.00865,0.12,0.79,0.605
1007,brazil,Hoje Eu Quero Sair Só,7IlN4RrC4oILrQJ1xsBM3f,2,-8.305,94.017,338880,0.597,7,0.000219,0.0468,0.699,0.78
1008,brazil,Gostava Tanto De Você,4lqJizVlijumu0Jn7dXnbC,11,-7.163,89.603,253640,0.945,9,1.07e-05,0.0931,0.862,0.52
1009,brazil,Toda Forma de Amor,2ma8V5vEOfCuyqZ0V8HAq3,59,-5.631,137.905,225760,0.833,9,8.82e-05,0.0363,0.827,0.674
1010,brazil,Codinome Beija-Flor,5yFI0Vs3x4EbeIDerT0ck1,56,-9.793,95.205,151307,0.255,11,9.67e-05,0.031,0.301,0.482
1011,brazil,Robocop Gay,1eDBpkZgY7p9OBVodcrX9n,53,-9.777,143.98,179240,0.79,0,2.05e-06,0.0376,0.921,0.672
1012,brazil,Eu Sei,5YQPOIAt3U7DMAswTVvzax,58,-8.234,108.087,232120,0.613,7,0.0,0.0301,0.397,0.44
1013,brazil,Me encontra,1tg4ajDHN3Cr5o7arUtN5k,11,-3.878,178.001,211467,0.954,8,0.000123,0.0555,0.686,0.395
1014,brazil,The Girl From Ipanema,1Sq5WIPVCs0fMODkLpFxZL,0,-16.771,126.677,194867,0.606,1,0.00402,0.041,0.746,0.641
1015,brazil,Balada (Tchê Tcherere Tchê Tchê),3WOAyxXLXWJJx2wZHJJT2X,0,-4.216,127.963,201840,0.949,11,0.0,0.0557,0.857,0.681
1016,brazil,Tempo Perdido,7MnT7msJZg3XBAS0OTfGrB,67,-13.076,186.007,302200,0.662,4,0.00112,0.0486,0.221,0.293
1017,brazil,Velha Infancia - 2004 Digital Remaster;,3KYlOzxN5xO7eEauO1VF06,65,-8.152,84.847,250453,0.596,6,0.000138,0.0375,0.574,0.361
1018,brazil,De Todos os Loucos do Mundo,1Thcp2JGBWW1edul945eW3,0,-13.744,124.932,143964,0.339,0,0.0,0.0909,0.809,0.752
1019,brazil,Último Romance - Ao Vivo,3Pssl5CAjQVYMJDlPphGUb,34,-6.997,165.954,263733,0.775,3,0.234,0.0471,0.602,0.33
1020,brazil,Melhor do Que Ontem,6QFgHM8uU0pqZNX1opZS8N,33,-6.999,159.89,239587,0.799,7,0.0,0.03,0.561,0.436
1021,brazil,11 Vidas,4BeiDtscDgxVe9PazLUPSj,1,-5.78,140.021,189893,0.622,7,0.0,0.03,0.457,0.624
1022,brazil,Te Ver,6USdH2GyvlsgbaSF4NbAdX,26,-5.511,90.123,276187,0.697,11,0.00151,0.0716,0.764,0.773
1023,brazil,All Star,5YzqxOw9aMssgQ6rebBF4d,12,-9.074,90.039,181760,0.486,9,1.31e-05,0.0444,0.633,0.574
1024,brazil,Magalenha,6KHavXdYptg58jxQSES3mg,7,-7.23,133.978,234693,0.87,7,6.26e-06,0.101,0.597,0.8
1025,brazil,Você,7ILgs068FwCIat5DA1CI99,0,-4.754,143.177,249400,0.709,4,3.26e-05,0.0458,0.712,0.339
1026,brazil,Só os Loucos Sabem,4aMBthyrceSKD9omq25HgA,23,-8.18,192.178,210493,0.396,7,0.0,0.0395,0.57,0.39
1027,brazil,Na Sua Estante,0y2IYKinRnwvL4xDXoMytJ,0,-8.886,106.052,222040,0.499,11,0.0,0.0254,0.364,0.564
1028,brazil,Tente outra vez,3o9QS7tLm7YskEG7NWbpcz,24,-9.764,132.401,145440,0.526,2,0.0,0.0363,0.336,0.572
